City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Asau,RO,46.4333,26.4,26.96,98,100,1.63,overcast clouds
69,Grand Gaube,MU,-20.0064,57.6608,77.4,79,15,5.01,few clouds
70,Hualmay,PE,-11.0964,-77.6139,71.96,78,68,8.55,broken clouds
71,Kapaa,US,22.0752,-159.319,75.52,81,90,3.0,light rain
72,Sitka,US,57.0531,-135.33,40.89,87,90,12.66,mist
73,Campo De Criptana,ES,39.4046,-3.1249,46.92,76,2,3.51,clear sky
74,Kailua,US,21.4022,-157.7394,76.14,78,96,5.99,overcast clouds
75,Karchaghbyur,AM,40.1705,45.5779,22.12,55,88,3.74,overcast clouds
76,Mahebourg,MU,-20.4081,57.7,77.29,78,75,11.5,light rain
77,Locri,IT,38.2414,16.2623,61.95,85,100,6.15,overcast clouds
78,Westport,US,41.1415,-73.3579,45.09,91,90,1.99,overcast clouds
79,Kahului,US,20.8947,-156.47,78.06,85,20,11.5,few clouds
80,Penalva,BR,-3.2942,-45.1736,82.54,77,90,3.74,light rain
81,Sabaudia,IT,41.3003,13.0282,56.77,95,21,6.24,few clouds
82,Upernavik,GL,72.7868,-56.1549,-4.34,97,82,8.95,broken clouds
83,Lompoc,US,34.6391,-120.4579,54.52,85,90,12.66,overcast clouds
84,Mandal,IN,25.45,74.5667,53.89,74,2,3.94,clear sky
85,Narasannapeta,IN,18.4167,84.05,69.08,87,0,5.88,clear sky
86,Montalban,FR,44.0167,1.35,60.51,86,100,5.48,overcast clouds
87,Jamestown,US,42.097,-79.2353,40.32,70,90,5.99,mist
88,Del Rio,US,29.3627,-100.8968,79.81,70,1,5.75,clear sky
89,Butaritari,KI,3.0707,172.7902,80.2,78,80,7.52,light rain
90,Laguna,US,38.421,-121.4238,48.25,93,90,1.01,mist
91,Pontian Kecil,MY,1.4801,103.3899,78.93,92,97,6.62,overcast clouds
92,Kongoussi,BF,13.3258,-1.5347,74.19,13,10,8.68,clear sky
93,Tipperary,IE,52.4733,-8.1558,55.06,90,89,11.23,overcast clouds
94,Khani,GE,41.9563,42.9566,29.77,73,100,8.43,overcast clouds
95,Dongying,CN,37.4564,118.4856,27.46,41,0,7.72,clear sky
96,Taywarah,AF,33.35,64.4167,25.84,27,100,2.62,overcast clouds
97,Narsaq,GL,60.9167,-46.05,17.82,59,0,6.49,clear sky
98,Nikolskoye,RU,59.7035,30.7861,19.4,89,100,8.68,overcast clouds
99,Albany,US,42.6001,-73.9662,39.78,91,100,1.59,overcast clouds
100,Georgetown,MY,5.4112,100.3354,81.95,82,20,1.01,few clouds
101,Hamilton,US,39.1834,-84.5333,50.74,82,75,1.99,broken clouds
102,Saskylakh,RU,71.9167,114.0833,-29.0,100,60,4.38,broken clouds
103,Batouri,CM,4.4333,14.3667,76.42,40,51,1.3,broken clouds
104,Mar Del Plata,AR,-38.0023,-57.5575,80.62,90,75,21.99,broken clouds
105,Esperance,AU,-33.8667,121.9,64.24,68,0,10.85,clear sky
106,Dudhani,IN,17.3667,76.3667,72.7,46,58,8.93,broken clouds
107,Umm Kaddadah,SD,13.6017,26.6876,66.99,29,92,12.91,overcast clouds
108,Nabire,ID,-3.3667,135.4833,75.06,89,100,2.71,overcast clouds
109,Berlevag,NO,70.8578,29.0864,18.57,84,99,6.89,overcast clouds
110,Yumen,CN,40.2833,97.2,14.9,51,20,13.0,few clouds
111,Kaseda,JP,31.4167,130.3167,48.85,59,100,22.55,overcast clouds
112,Gurupa,BR,-1.405,-51.64,84.36,69,99,2.84,overcast clouds
113,Nanortalik,GL,60.1432,-45.2371,21.97,76,5,5.97,clear sky
114,Fortuna,US,40.5982,-124.1573,48.97,86,75,1.99,broken clouds
115,Hofn,IS,64.2539,-15.2082,30.22,55,90,20.71,overcast clouds
116,Naze,JP,28.3667,129.4833,57.34,63,100,19.44,overcast clouds
117,San Policarpo,PH,12.1791,125.5072,79.68,79,97,18.21,overcast clouds
118,Savonlinna,FI,61.8699,28.88,23.05,93,90,10.36,overcast clouds
119,Hovd,MN,48.0056,91.6419,-2.83,83,30,2.06,scattered clouds
120,Havelock,US,34.8791,-76.9013,80.55,74,1,8.99,clear sky
121,Kronshtadt,RU,59.9936,29.7736,19.65,85,100,11.16,overcast clouds
122,Isangel,VU,-19.55,169.2667,78.91,94,75,4.61,broken clouds
123,Nimbahera,IN,24.6167,74.6833,52.9,79,0,5.32,clear sky
124,Ilulissat,GL,69.2167,-51.1,-6.21,77,12,5.66,few clouds
125,Vostok,RU,46.4856,135.8833,-28.34,98,39,4.52,scattered clouds
126,Airai,TL,-8.9266,125.4092,60.01,90,100,1.5,overcast clouds
127,Lebu,CL,-37.6167,-73.65,63.16,78,44,8.08,scattered clouds
128,Cape Town,ZA,-33.9258,18.4232,64.89,72,20,1.01,few clouds
129,Nainpur,IN,22.4333,80.1167,53.24,90,0,7.7,clear sky
130,Meadow Lake,US,34.8014,-106.5436,48.67,40,93,13.11,overcast clouds
131,Ust-Omchug,RU,61.15,149.6333,-23.48,96,100,7.07,overcast clouds
132,Seydi,TM,39.4816,62.9137,40.35,23,33,10.8,scattered clouds
133,Pevek,RU,69.7008,170.3133,-33.29,99,100,3.33,overcast clouds
134,Jablah,SY,35.3614,35.9256,52.09,66,0,4.61,clear sky
135,Mae Hong Son,TH,19.3003,97.9685,65.44,81,28,1.83,scattered clouds
136,Souillac,MU,-20.5167,57.5167,77.38,78,75,11.5,broken clouds
137,Tungor,RU,53.3808,142.9564,-10.26,96,100,13.47,overcast clouds
138,San Patricio,US,28.017,-97.5169,81.01,46,99,5.77,overcast clouds
139,Oistins,BB,13.0667,-59.5333,84.29,58,40,18.41,scattered clouds
140,Avarua,CK,-21.2078,-159.775,80.65,78,40,17.27,light rain
141,Carnarvon,AU,-24.8667,113.6333,78.87,61,38,9.22,scattered clouds
142,Vila Velha,BR,-20.3297,-40.2925,82.35,82,75,5.75,broken clouds
143,Panjab,AF,34.388,67.0233,17.58,60,100,0.74,overcast clouds
144,Hithadhoo,MV,-0.6,73.0833,81.64,76,100,10.4,overcast clouds
145,Saint-Pierre,RE,-21.3393,55.4781,76.68,74,0,9.22,clear sky
